Date,Open,High,Low,Close,Adj Close,Volume
2010-08-20,2.658010,2.663550,2.588790,2.597100,1.981357,49132900
2010-08-23,2.591560,2.651090,2.556950,2.605410,1.987697,42122639
2010-08-24,2.572180,2.588790,2.511270,2.552800,1.947560,52984944
2010-08-25,2.532030,2.550030,2.475270,2.515420,1.919042,56690231
2010-08-26,2.533420,2.583260,2.519570,2.563870,1.956005,60591359
2010-08-27,2.561110,2.588790,2.516810,2.588790,1.975017,56396500
2010-08-30,2.605410,2.627560,2.569410,2.586020,1.972904,31605373
2010-08-31,2.533420,2.568030,2.511270,2.559720,1.952839,55563255
2010-09-01,2.570800,2.673240,2.540340,2.671860,2.038392,64293944
2010-09-02,2.658010,2.753530,2.646940,2.741080,2.091201,80707724
2010-09-03,2.757690,2.804760,2.724460,2.764610,2.109152,73407085
2010-09-06,2.785380,2.788140,2.730000,2.730000,2.082748,34581163
2010-09-07,2.702310,2.710620,2.649710,2.662170,2.030999,63874601
2010-09-08,2.642780,2.720310,2.628940,2.712000,2.069016,61117175
2010-09-09,2.724460,2.790910,2.710620,2.768760,2.112318,75270036
2010-09-10,2.746610,2.824140,2.741080,2.801990,2.137670,69750113
2010-09-13,2.835210,2.849060,2.804760,2.829680,2.158795,54129578
2010-09-14,2.846290,2.879510,2.835210,2.873980,2.192592,76961958
2010-09-15,2.898890,2.915510,2.821370,2.890590,2.205264,87393970
2010-09-16,2.871210,2.898890,2.810290,2.826910,2.156681,101079518
2010-09-17,2.868440,2.893360,2.832440,2.868440,2.188365,73183819
2010-09-20,2.915510,3.009650,2.912740,3.004110,2.291869,148037525
2010-09-21,2.993030,3.034560,2.979190,3.006880,2.293983,89547357
2010-09-22,3.059480,3.103780,2.979190,3.015180,2.300315,141875026
