round_epochs,loss,val_loss,batch_size,epochs,first_neuron,hidden_layers,lr,optimiz,shapes
50,0.2665974795818329,1.3365062475204468,50,50,32,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.29697179794311523,1.2060151100158691,50,50,32,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.25929495692253113,0.6170991063117981,50,50,32,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.26829028129577637,0.5707253217697144,50,50,32,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
32,0.3820185661315918,1.1531012058258057,50,50,32,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.31400296092033386,0.5958667397499084,50,50,32,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
41,0.28764623403549194,1.5437759160995483,50,50,32,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.27037325501441956,0.572810173034668,50,50,32,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.3068290650844574,0.8240289688110352,50,50,64,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.25846269726753235,0.6381012201309204,50,50,64,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.30235058069229126,0.557062566280365,50,50,64,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.2749987840652466,0.5621995329856873,50,50,64,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.3177873492240906,0.545833945274353,50,50,64,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.3162425458431244,0.6042717695236206,50,50,64,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.334025114774704,0.5859523415565491,50,50,64,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.33824342489242554,0.5511735677719116,50,50,64,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
48,0.3026142120361328,0.953606128692627,50,70,32,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.2343197762966156,0.5440986156463623,50,70,32,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
70,0.27042263746261597,0.5504100918769836,50,70,32,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.24810579419136047,0.5522658824920654,50,70,32,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
63,0.3594359755516052,1.1877007484436035,50,70,32,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.25556960701942444,0.6314149498939514,50,70,32,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
38,0.4868486821651459,2.633740186691284,50,70,32,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.27611014246940613,0.7246673703193665,50,70,32,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
32,0.3235417306423187,1.0012847185134888,50,70,64,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
67,0.32877498865127563,3.363806962966919,50,70,64,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
70,0.2440587282180786,0.5526190996170044,50,70,64,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.25107526779174805,0.5376434922218323,50,70,64,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
65,0.3068610727787018,0.9687764048576355,50,70,64,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
67,0.31370285153388977,1.437182903289795,50,70,64,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
47,0.3689330816268921,4.561493396759033,50,70,64,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
64,0.30782631039619446,0.6040380597114563,50,70,64,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.31675466895103455,1.9585256576538086,100,50,32,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.31812599301338196,2.1877682209014893,100,50,32,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.28354620933532715,0.8145235776901245,100,50,32,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
38,0.4668470621109009,4.905077934265137,100,50,32,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.30746957659721375,0.7040424942970276,100,50,32,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.29104748368263245,0.7776964902877808,100,50,32,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.29536405205726624,1.288314938545227,100,50,32,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.3326718807220459,0.7276203036308289,100,50,32,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
34,0.9322977066040039,10.123026847839355,100,50,64,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
32,0.4988461434841156,6.733484268188477,100,50,64,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
30,0.3748560845851898,4.552373886108398,100,50,64,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.40806886553764343,1.3083432912826538,100,50,64,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.2944833040237427,0.625119149684906,100,50,64,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
50,0.42453286051750183,2.120266914367676,100,50,64,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.3133651614189148,2.4253783226013184,100,50,64,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
18,0.6148551106452942,19.373985290527344,100,50,64,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
60,0.2707190215587616,1.4039191007614136,100,70,32,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
25,0.6550934314727783,4.02815580368042,100,70,32,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
70,0.2488764375448227,1.9256200790405273,100,70,32,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.3064197897911072,5.856410980224609,100,70,32,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
65,0.2714759111404419,1.663033127784729,100,70,32,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.2965686023235321,6.2547287940979,100,70,32,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
50,0.2912938594818115,2.1862740516662598,100,70,32,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.2739790976047516,1.4421486854553223,100,70,32,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
38,0.7330963015556335,5.764188289642334,100,70,64,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.2647947072982788,1.8381094932556152,100,70,64,2,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
24,0.6815678477287292,11.964051246643066,100,70,64,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.317648321390152,2.6491804122924805,100,70,64,2,0.01,<class 'keras.optimizer_v2.adam.Adam'>,triangle
70,0.2607342004776001,1.1472017765045166,100,70,64,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,brick
70,0.28245973587036133,1.8056565523147583,100,70,64,3,0.005,<class 'keras.optimizer_v2.adam.Adam'>,triangle
16,1.7082439661026,16.184383392333984,100,70,64,3,0.01,<class 'keras.optimizer_v2.adam.Adam'>,brick
